Name,Birth Date,Party
"Mathiasin, MaxMax Mathiasin",24 février 1956(68 ans),DVG
"Mathieu, FrédéricFrédéric Mathieu",6 novembre 1977(46 ans),LFI
"Mattei, Jean-PaulJean-Paul Mattei",21 mars 1954(70 ans),MoDem
"Maudet, DamienDamien Maudet",14 novembre 1996(27 ans),LFI
"Mauvieux, KévinKévin Mauvieux",9 septembre 1991(32 ans),RN
"Maximi, MarianneMarianne Maximi",13 novembre 1985(38 ans),LFI
"Mazars, StéphaneStéphane Mazars",25 mars 1969(55 ans),RE
Nicolas Meizonnet,22 décembre 1983(40 ans),RN
"Melchior, GraziellaGraziella Melchior",6 avril 1960(64 ans),RE
"Mélin, JoëlleJoëlle Mélin",26 mars 1950(74 ans),RN
"Menache, YaëlYaël Menache",12 mai 1985(39 ans),RN
"Ménagé, ThomasThomas Ménagé",6 janvier 1992(32 ans),RN
"Ménard, EmmanuelleEmmanuelle Ménard",15 août 1968(55 ans),EXD
"Mendes, LudovicLudovic Mendes",11 avril 1987(37 ans),RE
"Métayer, LysianeLysiane Métayer",7 août 1963(60 ans),RE-TdP
"Mette, SophieSophie Mette",13 septembre 1959(64 ans),MoDem
"Metzdorf, NicolasNicolas Metzdorf",20 mai 1988(36 ans),RE-GNC
"Meunier, FrédériqueFrédérique Meunier",8 décembre 1960(63 ans),LR
"Meunier, ManonManon Meunier",30 mars 1996(28 ans),LFI
"Meurin, PierrePierre Meurin",30 novembre 1989(34 ans),RN
"Meynier-Millefert, MarjolaineMarjolaine Meynier-Millefert",30 septembre 1982(41 ans),RE-TdP
"Midy, PaulPaul Midy",25 janvier 1983(41 ans),RE
"Miller, LaureLaure Miller",25 décembre 1983(40 ans),RE
"Millienne, BrunoBruno Millienne",28 novembre 1959(64 ans),MoDem
"Minot, MaximeMaxime Minot",20 juillet 1987(36 ans),LR
"Molac, PaulPaul Molac",21 mai 1962(62 ans),REG
"Monnet, YannickYannick Monnet",7 octobre 1975(48 ans),PCF
"de Montchalin, VéroniqueVéronique de Montchalin",20 juin 1948(76 ans),RE
Louise Morel,15 octobre 1995(28 ans),MoDem
Pierre Morel-À-L'Huissier,21 décembre 1958(65 ans),UDI
"Mournet, BenoîtBenoît Mournet",16 janvier 1986(38 ans),RE
"Moutchou, NaïmaNaïma Moutchou",4 novembre 1980(43 ans),Horizons
"Muller, SergeSerge Muller",26 février 1976(48 ans),RN
"Nadeau, MarcellinMarcellin Nadeau",2 novembre 1962(61 ans),Péyi-A
"Naegelen, ChristopheChristophe Naegelen",30 décembre 1983(40 ans),DVD
"Naillet, PhilippePhilippe Naillet",14 août 1960(63 ans),PS
"Neuder, YannickYannick Neuder",15 mars 1969(55 ans),LR
"Nilor, Jean-PhilippeJean-Philippe Nilor",15 mai 1965(59 ans),Péyi-A
"Nury, JérômeJérôme Nury",25 août 1972(51 ans),LR
"Obono, DanièleDanièle Obono",12 juillet 1980(44 ans),LFI
"Odoul, JulienJulien Odoul",8 mai 1985(39 ans),RN
"Olive, KarlKarl Olive",29 mars 1969(55 ans),RE
"Ott, HubertHubert Ott",6 juin 1964(60 ans),MoDem
"Oziol, NathalieNathalie Oziol",18 février 1990(34 ans),LFI
"Pacquot, NicolasNicolas Pacquot",12 février 1978(46 ans),RE
"Padey, DidierDidier Padey",9 novembre 1965(58 ans),MoDem
"Pahun, JimmyJimmy Pahun",15 mai 1962(62 ans),MoDem
"Pancher, BertrandBertrand Pancher",5 juin 1958(66 ans),DVC
"Panifous, LaurentLaurent Panifous",21 décembre 1976(47 ans),DVG
"Panonacle, SophieSophie Panonacle",16 décembre 1968(55 ans),RE
"Panosyan-Bouvet, AstridAstrid Panosyan-Bouvet",13 août 1971(52 ans),RE
"Panot, MathildeMathilde Panot",15 janvier 1989(35 ans),LFI
"Parakian, DidierDidier Parakian",5 mars 1964(60 ans),RE
"Paris, DidierDidier Paris",14 février 1954(70 ans),RE
"Paris, MathildeMathilde Paris",14 janvier 1985(39 ans),RN
"Parmentier, CarolineCaroline Parmentier",16 décembre 1965(58 ans),RN
"Parmentier-Lecocq, CharlotteCharlotte Parmentier-Lecocq",17 juillet 1977(47 ans),RE
"Pasquini, FrancescaFrancesca Pasquini",27 décembre 1981(42 ans),EELV
"Patrier-Leitus, JérémieJérémie Patrier-Leitus",7 mars 1989(35 ans),Horizons
"Pauget, ÉricÉric Pauget",18 août 1970(53 ans),LR-SL
"Pellerin, EmmanuelEmmanuel Pellerin",20 août 1970(53 ans),RE
"Périgault, IsabelleIsabelle Périgault",4 septembre 1971(52 ans),LR
"Perrot, PatricePatrice Perrot",24 février 1964(60 ans),RE
"Petel, Anne-LaurenceAnne-Laurence Petel",8 février 1970(54 ans),RE
"Petex-Levet, ChristelleChristelle Petex-Levet",2 septembre 1980(43 ans),LR
"Petit, BertrandBertrand Petit",28 août 1964,PS
"Petit, FrédéricFrédéric Petit",10 février 1961(63 ans),MoDem
"Petit, MaudMaud Petit",15 novembre 1971(52 ans),MoDem
"Peu, StéphaneStéphane Peu",24 juillet 1962(61 ans),PCF
"Peyron, MichèleMichèle Peyron",22 juillet 1961(62 ans),RE-TdP
"Peytavie, SébastienSébastien Peytavie",17 avril 1982(42 ans),G.s
"Pfeffer, KévinKévin Pfeffer",9 juillet 1990(34 ans),RN
"Pic, AnnaAnna Pic",4 juin 1978(46 ans),PS
"Pilato, RenéRené Pilato",31 août 1962,LFI
"Piquemal, FrançoisFrançois Piquemal",28 décembre 1984(39 ans),LFI
"Pirès-Beaune, ChristineChristine Pirès-Beaune",6 octobre 1964(59 ans),PS
"Piron, BéatriceBéatrice Piron",30 août 1965(58 ans),RE
"Plassard, ChristopheChristophe Plassard",19 novembre 1967(56 ans),Horizons
"Pochon, MarieMarie Pochon",4 mai 1990(34 ans),EÉLV
"Pollet, LisetteLisette Pollet",4 janvier 1968(56 ans),RN
"Pont, Jean-PierreJean-Pierre Pont",9 mai 1950(74 ans),RE
"Portarrieu, Jean-FrançoisJean-François Portarrieu",14 octobre 1965(58 ans),AC
"Portes, ThomasThomas Portes",18 novembre 1985(38 ans),LFI
"Portier, AlexandreAlexandre Portier",21 avril 1990(34 ans),LR
"Potier, DominiqueDominique Potier",17 mars 1964(60 ans),PS
"Poueyto, JosyJosy Poueyto",13 janvier 1954(70 ans),MoDem
"Poulliat, ÉricÉric Poulliat",9 juillet 1974(50 ans),RE
"Poussier-Winsback, Marie-AgnèsMarie-Agnès Poussier-Winsback",25 mars 1967(57 ans),Horizons
"Pouzyreff, NataliaNatalia Pouzyreff",18 février 1961(63 ans),RE
"Pradal, PhilippePhilippe Pradal",1erfévrier 1963(61 ans),Horizons
"Pradié, AurélienAurélien Pradié",14 mars 1986(38 ans),LR
"Prud'homme, LoïcLoïc Prud'homme",19 août 1969(54 ans),LFI
"Quatennens, AdrienAdrien Quatennens",23 mai 1990(34 ans),LFI
"Rabault, ValérieValérie Rabault",25 mai 1973(51 ans),PS
"Rambaud, StéphaneStéphane Rambaud",5 avril 1960(64 ans),RN
"Ramos, RichardRichard Ramos",23 mars 1968(56 ans),MoDem
"Ranc, AngéliqueAngélique Ranc",16 mars 1988(36 ans),RN
"Rancoule, JulienJulien Rancoule",31 juillet 1993(30 ans),RN
"Ratenon, Jean-HuguesJean-Hugues Ratenon",25 juin 1967(57 ans),LFI-RÉ974
"Rauch, IsabelleIsabelle Rauch",10 août 1968(55 ans),Horizons-RE
"Raux, Jean-ClaudeJean-Claude Raux",18 janvier 1967(57 ans),EELV
"Ray, NicolasNicolas Ray",14 mai 1981(43 ans),LR
"Rebeyrotte, RémyRémy Rebeyrotte",27 mars 1966(58 ans),RE-TdP
"Reda, RobinRobin Reda",10 mai 1991(33 ans),RE
"Regol, SandraSandra Regol",13 avril 1978(46 ans),EELV
"Reid Arbelot, MereanaMereana Reid Arbelot",12 septembre 1970(53 ans),app.Tavini
"Rilhac, CécileCécile Rilhac",21 avril 1974(50 ans),RE-EC
"Rimane, DavyDavy Rimane",15 décembre 1979(44 ans),DVG
"Riotton, VéroniqueVéronique Riotton",2 novembre 1969(54 ans),RE
"Rist, StéphanieStéphanie Rist",6 août 1973(50 ans),RE
"Rixain, Marie-PierreMarie-Pierre Rixain",18 janvier 1977(47 ans),RE
"Robert-Dehault, LaurenceLaurence Robert-Dehault",17 janvier 1964(60 ans),RN
"Rodwell, CharlesCharles Rodwell",26 juillet 1996(27 ans),Agir
"Rolland, VincentVincent Rolland",1erfévrier 1970(54 ans),LR
"Rome, SébastienSébastien Rome",12 octobre 1978(45 ans),LFI
"Roseren, XavierXavier Roseren",12 janvier 1970(54 ans),RE
"Rouaux, ClaudiaClaudia Rouaux",13 octobre 1963(60 ans),PS
"Roullaud, BéatriceBéatrice Roullaud",9 juin 1960(64 ans),RN
"Rousseau, SandrineSandrine Rousseau",8 mars 1972(52 ans),EELV
"Roussel, FabienFabien Roussel",16 avril 1969(55 ans),PCF
"Rousset, Jean-FrançoisJean-François Rousset",9 septembre 1952(71 ans),RE
"Royer-Perreaut, LionelLionel Royer-Perreaut",13 novembre 1972(51 ans),DVD
"Rudigoz, ThomasThomas Rudigoz",11 janvier 1971(53 ans),RE
"Ruffin, FrançoisFrançois Ruffin",18 octobre 1975(48 ans),LFI-PD
"Sabatini, AnaïsAnaïs Sabatini",10 mars 1990(34 ans),RN
"Sabatou, AlexandreAlexandre Sabatou",18 février 1993(31 ans),RN
"Saint-Huile, BenjaminBenjamin Saint-Huile",10 mai 1983(41 ans),DVG
"Saint-Paul, LaetitiaLaetitia Saint-Paul",21 janvier 1981(43 ans),RE
"Saintoul, AurélienAurélien Saintoul",26 mai 1988(36 ans),LFI
"Sala, MichelMichel Sala",13 mai 1954(70 ans),LFI
"Salmon, ÉmericÉmeric Salmon",26 novembre 1973(50 ans),RN
"Sansu, NicolasNicolas Sansu",17 juin 1968(56 ans),PCF
"Santiago, IsabelleIsabelle Santiago",20 septembre 1965(58 ans),PS
"Sas, ÉvaÉva Sas",13 août 1970(53 ans),EELV
"Saulignac, HervéHervé Saulignac",6 novembre 1970(53 ans),PS
"Schellenberger, RaphaëlRaphaël Schellenberger",14 février 1990(34 ans),LR
"Schreck, PhilippePhilippe Schreck",2 février 1972(52 ans),RN
"Sebaihi, SabrinaSabrina Sebaihi",10 mai 1981(43 ans),EELV
"Seitlinger, VincentVincent Seitlinger",18 janvier 1987(37 ans),LR
"Seo, MikaeleMikaele Seo",27 décembre 1971(52 ans),RE
"Serre, NathalieNathalie Serre",17 août 1968(55 ans),LR
"Serva, OlivierOlivier Serva",21 juin 1974(50 ans),GUSR
"Simonnet, DanielleDanielle Simonnet",2 juillet 1971(53 ans),LFI
"Sitzenstuhl, CharlesCharles Sitzenstuhl",3 décembre 1988(35 ans),Agir
"Sorez, PhilippePhilippe Sorez",20 mai 1961(63 ans),TdP
"Sorre, BertrandBertrand Sorre",8 mai 1965(59 ans),RE
"Soudais, ErsiliaErsilia Soudais",21 mai 1988(36 ans),LFI
"Spillebout, VioletteViolette Spillebout",2 septembre 1972(51 ans),RE
"Stambach-Terrenoir, AnneAnne Stambach-Terrenoir",23 juin 1980(44 ans),LFI
"Studer, BrunoBruno Studer",18 juin 1978(46 ans),RE
"Tabarot, MichèleMichèle Tabarot",13 octobre 1962(61 ans),LR
"Taché, AurélienAurélien Taché",26 mai 1984(40 ans),EELV
"Taché de La Pagerie, EmmanuelEmmanuel Taché de La Pagerie",20 février 1975(49 ans),RN
"Taillé-Polian, SophieSophie Taillé-Polian",4 octobre 1974(49 ans),G.s
"Taite, Jean-PierreJean-Pierre Taite",14 mars 1962(62 ans),LR
"Tanguy, Jean-PhilippeJean-Philippe Tanguy",25 mars 1986(38 ans),RN
"Tanguy, LilianaLiliana Tanguy",12 mars 1967(57 ans),RE
"Tanzilli, SarahSarah Tanzilli",23 janvier 1985(39 ans),RE
"Taupiac, DavidDavid Taupiac",9 juin 1975(49 ans),DVG
"Taurinya, AndréeAndrée Taurinya",3 juin 1963(61 ans),LFI
"Tavel, MatthiasMatthias Tavel",6 juillet 1987(37 ans),LFI
"Taverne, MichaëlMichaël Taverne",10 mars 1979(45 ans),RN
"Tellier, Jean-MarcJean-Marc Tellier",23 août 1969(54 ans),PCF
"Terlier, JeanJean Terlier",2 mars 1977(47 ans),RE
"Thiébaut, VincentVincent Thiébaut",23 mai 1972(52 ans),Horizons-RE
"Thiériot, Jean-LouisJean-Louis Thiériot",26 juin 1969(55 ans),LR
"Thierry, NicolasNicolas Thierry",8 décembre 1975(48 ans),EELV
"Thillaye, SabineSabine Thillaye",18 mai 1959(65 ans),MoDem
"Thomin, MélanieMélanie Thomin",4 juin 1984(40 ans),PS
"Tiegna, HuguetteHuguette Tiegna",1eravril 1982(42 ans),RE
"Tivoli, LionelLionel Tivoli",29 février 1988(36 ans),RN
"Travert, StéphaneStéphane Travert",12 octobre 1969(54 ans),RE
"Trouvé, AurélieAurélie Trouvé",20 septembre 1979(44 ans),LFI
"Turquois, NicolasNicolas Turquois",26 juillet 1972(51 ans),MoDem
"Untermaier, CécileCécile Untermaier",28 décembre 1951(72 ans),PS
"Valence, DavidDavid  Valence",7 octobre 1981(42 ans),PRV
"Valentin, IsabelleIsabelle Valentin",20 janvier 1962(62 ans),LR
"Vallaud, BorisBoris Vallaud",25 juillet 1975(48 ans),PS
"Vannier, PaulPaul Vannier",19 septembre 1985(38 ans),LFI-PG
"Vatin, PierrePierre Vatin",21 août 1967(56 ans),LR
"Véran, OlivierOlivier Véran",22 avril 1980(44 ans),RE
"Vermorel-Marques, AntoineAntoine Vermorel-Marques",17 février 1993(31 ans),LR
"Vichnievsky, LaurenceLaurence Vichnievsky",5 février 1955(69 ans),MoDem
"Vicot, RogerRoger Vicot",1erjuin 1963(61 ans),PS
"Vidal, AnnieAnnie Vidal",17 septembre 1956(67 ans),RE
"Vigier, Jean-PierreJean-Pierre Vigier",22 octobre 1969(54 ans),LR
"Vigier, PhilippePhilippe Vigier",3 février 1958(66 ans),MoDem
"Vignal, PatrickPatrick Vignal",22 janvier 1958(66 ans),RE
"Vignon, CorinneCorinne Vignon",10 juin 1963(61 ans),RE
"Vilgrain, JulietteJuliette Vilgrain",7 mai 1960(64 ans),Horizons
"Villedieu, AntoineAntoine Villedieu",8 mars 1989(35 ans),RN
"Villiers, AndréAndré Villiers",13 décembre 1954(69 ans),Horizons
"Vincendet, AlexandreAlexandre Vincendet",6 octobre 1983(40 ans),LR
"Violland, Anne-CécileAnne-Cécile Violland",10 juin 1973(51 ans),Horizons
"Viry, StéphaneStéphane Viry",14 octobre 1969(54 ans),LR
"Vojetta, StéphaneStéphane Vojetta",19 juillet 1974(50 ans),DVC
"Vuibert, LionelLionel Vuibert",31 août 1968(55 ans),Agir
"Vuilletet, GuillaumeGuillaume Vuilletet",20 juin 1967(57 ans),RE
"Walter, LéoLéo Walter",14 avril 1972(52 ans),LFI
"Warsmann, Jean-LucJean-Luc Warsmann",22 octobre 1965(58 ans),DVD
"Weissberg, ChristopherChristopher Weissberg",26 novembre 1985(38 ans),RE
"William, JiovannyJiovanny William",3 juin 1985(39 ans),DVG
"Woerth, ÉricÉric Woerth",29 janvier 1956(68 ans),DVD
"Yadan, CarolineCaroline Yadan",14 août 1968(55 ans),RE
"Youssouffa, EstelleEstelle Youssouffa",31 juillet 1978(45 ans),DVD
"Zulesi, Jean-MarcJean-Marc Zulesi",6 juin 1988(36 ans),RE
